street name	stripped name
Perry St	Perry
Peterborough Rd	Peterborough
Peter Paul Blvd	Peter Paul
Petoskey Ave	Petoskey
Pettus Rd	Pettus
Peyton Ave	Peyton
Phaup St	Phaup
Phillip Morris Drive Way	Phillip Morris Drive
Pierpont Rd	Pierpont
Pilots Ln	Pilots
Pinebrook Dr	Pinebrook
Pine Crest Ave	Crest
Pine Ridge Rd	Ridge
Pineway Dr	Pineway
Piney Branch Rd	Piney Branch
Piney Rd	Piney
Pink St	Pink
Pittaway Dr	Pittaway
Pitt St	Pitt
Plainfield Rd	Plainfield
Platinum Rd	Platinum
Playn St	Playn
Plazaview Rd	Plazaview
Plotkin Rd	Plotkin
Plymouth Dr	Plymouth
Pocahontas Ave	Pocahontas
Pocosham Dr	Pocosham
Pollock St	Pollock
Pompey Spring Rd	Pompey Spring
Pondera Rd	Pondera
Pope Ave	Pope
Poplar Ln	Poplar
Porter St	Porter
Portland Pl	Portland
Potomac St	Potomac
Potters Ct	Potters
Powell Rd	Powell
Powhatan Ave	Powhatan
Powhatan St	Powhatan
Powhite Pkwy	Powhite
Poyntelle Rd	Poyntelle
Prairie Rd	Prairie
Pratt St	Pratt
Prentis St	Prentis
Presson Blvd	Presson
Price St	Price
Pride Rd	Pride
Primrose Pl	Primrose
Primrose Pl Ser Dr	Primrose  Ser
Prince Arthur Rd	Prince Arthur
Prince Edward Rd	Prince Edward
Prince George Rd	Prince George
Prince Hall Dr	Prince Hall
Princess Anne Ave	Princess Anne
Princeton Rd	Princeton
Priv	Priv
Prospect Rd	Prospect
Prospect St	Prospect
Pulaski St	Pulaski
Pulliam St	Pulliam
Pump House Dr	Pump House
Purcell St	Purcell
Pusey Ln	Pusey
Queen Anne Dr	Queen Anne
Queen Charlotte Rd	Queen Charlotte
Queensbury Rd	Queensbury
Quicksall Ln	Quicksall
Radford Ave	Radford
Rady St	Rady
Ragsdale Rd	Ragsdale
Ralph Blvd	Ralph
Rams Vw	Rams Vw
Randall Ave	Randall
Randolph St	Randolph
Raven St	Raven
Rawlings St	Rawlings
Rebecca Rd	Rebecca
Red Ash Dr	Red Ash
Redd St	Redd
Redwood Ave	Redwood
Reedy Ave	Reedy
Regent Cir	Regent
Register Pkwy	Register
Rendale Ave	Rendale
Rennie Ave	Rennie
Republic Dr	Republic
Reserve St	Reserve
Reservoir Ln	Reservoir
Rettig Rd	Rettig
Reveille St	Reveille
Rhoadmiller St	Rhoadmiller
Rhodes Ave	Rhodes
Rice Rd	Rice
Richdale Rd	Richdale
Richeson Ave	Richeson
Richmond Henrico Tpke	Richmond Henrico Tpke
Richmond-Petersburg Tpke	Richmond-Petersburg Tpke
Richmond St	Richmond
Richmond Way	Richmond
Ridgecliff Dr	Ridgecliff
Ridgemont Rd	Ridgemont
Ridgeway Rd	Ridgeway
Rio Vista Ln	Rio Vista
Ripley Ave	Ripley
Ritter St	Ritter
Rivanna Dr	Rivanna
River City Court Way	River City Court
Rivercrest Rd	Rivercrest
River Rd	River
Riverside Dr	Riverside
Riverside Park	Riverside
Riverview Dr	Riverview
Riverview Pkwy	Riverview
Roane St	Roane
Roberson Ln	Roberson
Robert Bruce Dr	Robert Bruce
Robert E Lee Brg	Robert  Lee Brg
Robert Moore Cir	Robert Moore
Roberts St	Roberts
Robin Hood Rd	Robin Hood
Robin Rd	Robin
Robinview Dr	Robinview
Rockbridge St	Rockbridge
Rockfalls Dr	Rockfalls
Rockland Rd	Rockland
Rodman Rd	Rodman
Rogers St	Rogers
Rolfe Rd	Rolfe
Rosanell Ln	Rosanell
Rose Ave	Rose
Rosecrest Ave	Rosecrest
Rosedale Ave	Rosedale
Roselawn Rd	Roselawn
Rosemont Rd	Rosemont
Roseneath Rd	Roseneath
Rosetta St	Rosetta
Rosewell Ct	Rosewell
Rosewood Ave	Rosewood
Roslyn Rd	Roslyn
Rossmore Rd	Rossmore
Rothesay Cir	Rothesay
Rothesay Rd	Rothesay
Rowen Ave	Rowen
Rowe St	Rowe
Roxbury Rd	Roxbury
Royall Ave	Royall
Rubimont Rd	Rubimont
Rucker Ct	Rucker
Rucker Ln	Rucker
Rueger St	Rueger
Ruffin Rd	Ruffin
Rugby Rd	Rugby
Rusk Ave	Rusk
Rusk Ct	Rusk
Russell St	Russell
Rustic Rd	Rustic
Rutherford Rd	Rutherford
Ryburn Rd	Ryburn
Ryland St	Ryland
Sabot St	Sabot
S Adams St	Adams
S Addison St	Addison
Saddleback Dr	Saddleback
Saint Ann's Dr	Saint Ann'
Saint Moritz Ct	Saint Moritz
Saint Moritz Dr	Saint Moritz
Salem St	Salem
Sale St	Sale
Saline Dr	Saline
S Allen Ave	Allen
Sanborn Dr	Sanborn
Sara Ln	Sara
Saratoga Rd	Saratoga
S Ashlawn Dr	Ashlawn
S Auburn Ave	Auburn
Sauer Ave	Sauer
Saunders Ave	Saunders
Sawston Rd	Sawston
S Beech St	Beech
S Belmont Ave	Belmont
S Belmont Rd	Belmont
S Belvidere St	Belvidere
S Brunswick St	Brunswick
Scarsborough Dr	Scarsborough
S Cathedral Pl	Cathedral
S Cherry St	Cherry
S Cherry St Exd	Cherry
Schloss Rd	Schloss
Schutte Ave	Schutte
Scl RR Spur Rd	Scl RR Spur
S Coleman Ln	Coleman
S Colonial Ave	Colonial
Scottdale St	Scottdale
Scott St	Scott
Scottview Dr	Scottview
S Crenshaw Ave	Crenshaw
S Davis Ave	Davis
S Dooley Ave	Dooley
Seaman Rd	Seaman
Seddon Rd	Seddon
Seddon Way	Seddon
Selden St	Selden
Seminary Ave	Seminary
Seminary Pl	Seminary
Semmes Ave	Semmes
Seneca Rd	Seneca
Sequoyah Rd	Sequoyah
Service Rd	Service
Sewell St	Sewell
S Foushee St	Foushee
S German School Rd	German
S Granby St	Granby
S Grand Brook Cir	Grand
Shackleford Rd	Shackleford
Shadwell Rd	Shadwell
Shadybrook Ln	Shadybrook
Shafer St	Shafer
Shallow Ct	Shallow
Shallow Way	Shallow
S Hamilton St	Hamilton
Sharon Ct	Sharon
S Harrison St	Harrison
S Harvie St	Harvie
Shaw Ln	Shaw
Shawnee Rd	Shawnee
Sheffield Rd	Sheffield
Sheila Ln	Sheila
Shelby Dr	Shelby
Shenandoah St	Shenandoah
Sherbrook Rd	Sherbrook
Sheridan Ln	Sheridan
Sherwood Ave	Sherwood
Shields Ave	Shields
Shields Lake Ct	Shields
Shields Lake Dr	Shields
Shirley Ln	Shirley
Shirley Rd	Shirley
Shockoe Slip	Shockoe Slip
Shore Dr	Shore
Shoreham Dr	Shoreham
Short Decatur St	Short Decatur
Short St	Short
Silbury Rd	Silbury
Silver Ave	Silver
Silverwood Dr	Silverwood
Simpson Ave	Simpson
Sioux Rd	Sioux
Sisco Ave	Sisco
S Jefferson St	Jefferson
S Kenmore Rd	Kenmore
Skilift Ct	Skilift
Skilift Ln	Skilift
S Kinsley Ave	Kinsley
Skipping Rock Ct	Skipping
Skipping Rock Ln	Skipping
Skipping Rock Pl	Skipping
Skipping Rock Way	Skipping
Skipton Rd	Skipton
S Laurel St	Laurel
Sledd St	Sledd
S Linden St	Linden
S Linden St Exd	Linden
S Locke Ln	Locke
S Lock Ln	Lock
S Lombardy St	Lombardy
S Madison St	Madison
S Meadow St	Meadow
Smithdeal Ave	Smithdeal
Smith St	Smith
S Morris St	Morris
S Mulberry St	Mulberry
S Nansemond St	Nansemond
Snead Ct	Snead
Snead Rd	Snead
Snowden Ln	Snowden
Somerset Ave	Somerset
Souder Ct	Souder
Southall Ave	Southall
Southampton Ave	Southampton
Southampton Rd	Southampton
Southaven Rd	Southaven
Southcliff Rd	Southcliff
South Dr	South
Southern Pine Ct	Southern
Southern Pine Dr	Southern
Southgate St	Southgate
Southlawn Ave	Southlawn
Southwood Pkwy	Southwood
Spaine St	Spaine
Spicer Rd	Spicer
Spider Ln	Spider
S Plum St	Plum
Spokane St	Spokane
Spotsylvania St	Spotsylvania
Spottswood Rd	Spottswood
Spring Grove Dr	Spring Grove
Springhill Ave	Springhill
Springhill Ln	Springhill
Springs Rd	Springs
Spring St	Spring
Springton Rd	Springton
Springview Dr	Springview
Spruance Rd	Spruance
Spruce St	Spruce
S Randolph St	Randolph
S Robinson St	Robinson
S Rowland St	Rowland
S Sheppard St	Sheppard
S Shields Ave	Shields
S Stafford Ave	Stafford
Stacie Rd	Stacie
St Andrews Cir	Andrews
St Andrews Ln	Andrews
Stanhope Ave	Stanhope
St Ann's Dr	Ann'
Stansbury Ave	Stansbury
Staples Mill Rd	Staples Mill
St Benedict Ln	Benedict
St Catherine's Ln	Catherine'
St Christopher's Rd	Christopher'
St Davids Ln	Davids
Stegge Ave	Stegge
Sterling St	Sterling
Sterncroft Dr	Sterncroft
S Thompson St	Thompson
Stiff St	Stiff
St James Ct	James
St James St	James St
St John St	John St
St John's Wood	John' Wood
St John's Wood Dr	John' Wood
St John's Wood Ser Dr	John' Wood Ser
Stockton Ln	Stockton
Stockton St	Stockton
Stockwood Rd	Stockwood
Stokes Ln	Stokes
Stonehurst Green	Stonehurst
Stonewall Ave	Stonewall
Stonybrook Dr	Stonybrook
Stony Crest Cir	Crest
Stony Point Pkwy	Point
Stony Point Rd	Point
Stowe Dr	Stowe
Stowmarket Ct	Stowmarket
St Paul St	Paul St
St Peter St	Peter St
Stratford Ave	Stratford
Stratford Cres	Stratford Cres
Stratford Ct	Stratford
Stratford Pl	Stratford
Stratford Rd	Stratford
Stratford Townes Dr	Stratford Townes
Stratford Townes Pl	Stratford Townes
Stratford Townes Way	Stratford Townes
Stratton Rd	Stratton
Strawberry St	Strawberry
Strollers Ln	Strollers
Stuart Ave	Stuart
Stuart Cir	Stuart
Suffolk Rd	Suffolk
Sugarbush Dr	Sugarbush
Sugar Maple Dr	Sugar Maple
Sulgrave Rd	Sulgrave
Summer Hill Ave	Summer
Summit Ave	Summit
Summit Ln	Summit
Sumpter St	Sumpter
Sunbury Rd	Sunbury
Sunlight Ave	Sunlight
Sunora Ct	Sunora
Sunora Dr	Sunora
Sunset Ave	Sunset
Sunset Ln	Sunset
Susan Dr	Susan
Sussex St	Sussex
Susten Ct	Susten
Susten Ln	Susten
S Vine St	Vine
Swan Lake Dr	Swan
Swansboro Ln	Swansboro
Swanson Rd	Swanson
Sweetwood Dr	Sweetwood
S Willetta Dr	Willetta
S Wilton Rd	Wilton
Sylvan Ct	Sylvan
Sylvan Rd	Sylvan
Talbert Dr	Talbert
Tanby Rd	Tanby
Tanglewood Rd	Tanglewood
Tapoan Pl	Tapoan
Tapoan Rd	Tapoan
Tarpley Rd	Tarpley
Tate St	Tate
Taylor Ave	Taylor
Tazewell St	Tazewell
Teakwood Ave	Teakwood
Temple St	Temple
Templeton Rd	Templeton
Tempsford Ln	Tempsford
Tennyson Ave	Tennyson
Terminal Ave	Terminal
Terminal Pl	Terminal
Texas Ave	Texas
Thaxton St	Thaxton
The Plaza	The Plaza
The Terrace	The Terrace
Thomas St	Thomas
Thorndale Ln	Thorndale
Three Chopt Rd	Three Chopt
Thurman St	Thurman
Tiber Ln	Tiber
Tiffany Cir	Tiffany
Tifton Ct	Tifton
Tignor Rd	Tignor
Tilden St	Tilden
Tilford Rd	Tilford
Tilton Ct	Tilton
Titan Dr	Titan
Titus St	Titus
Toby Rd	Toby
Toddsbury Rd	Toddsbury
Toledo Ave	Toledo
Tomacee Rd	Tomacee
Tompkins St	Tompkins
Tonbridge Rd	Tonbridge
Towana Rd	Towana
Tow Path Cir	Tow Path
Tow Path Ct	Tow Path
Tow Path Ln	Tow Path
Tow Path Ln S	Tow Path
Trabue Rd	Trabue
Trafford Rd	Trafford
Transport Pl	Transport
Transport St	Transport
Traylor Dr	Traylor
Tredegar St	Tredegar
Treehaven Dr	Treehaven
Trenton Ave	Trenton
Trevor Ter	Trevor
Trigg St	Trigg
Trinity High School	Trinity High
Troy Ct	Troy
Troy Rd	Troy
Tuckahoe Ave	Tuckahoe
Tuckahoe Blvd	Tuckahoe
Tulip St	Tulip
Turf Ln	Turf
Turpin St	Turpin
Tuskegee St	Tuskegee
Tutti Dr	Tutti
Tuxedo Blvd	Tuxedo
Twin Valley Rd	Twin Valley
Two Path Cir	Two Path
Twyman Rd	Twyman
Tybee Ter	Tybee
Tyler St	Tyler
Tynick St	Tynick
Tyrone St	Tyrone
Ullswater Ave	Ullswater
Union St	Union
Uppingham Ct	Uppingham
Uppingham Rd	Uppingham
Uppingham Ter	Uppingham
Utah Pl	Utah
Vaden Dr	Vaden
Vale St	Vale
Valley Rd	Valley
Venable St	Venable
Veranda Ave	Veranda
Vesper Rd	Vesper
Veterans Ave	Veterans
Vevadel Dr	Vevadel
Vial Rd	Vial
Victor St	Victor
Vinton St	Vinton
Virginia Ave	Virginia
Virginia St	Virginia
Virginia Way	Virginia
Vista St	Vista
Vivian Ct	Vivian
Waewick Rd Con	Waewick  Con
Wainfleet Dr	Wainfleet
Wainwright Dr	Wainwright
Wakefield Rd	Wakefield
Walcott Pl	Walcott
Waldor Dr	Waldor
Walker St	Walker
Wallace St	Wallace
Wallowa Rd	Wallowa
Wall St	Wall
Walmsley Blvd	Walmsley
Walmsley Blvd Exd	Walmsley
Walnut Aly	Walnut
Walnut Ave	Walnut
Walpole St	Walpole
Walton Ave	Walton
Warner Rd	Warner
Warren Ave	Warren
Warwick Ave	Warwick
Warwick Rd	Warwick
Warwick Village Dr	Warwick Village
Washington St	Washington
Water St	Water
Watkins St	Watkins
Watson Ave	Watson
Waumsetta Rd	Waumsetta
Waverly Ave	Waverly
Waxford Rd	Waxford
Wayland St	Wayland
Wayne St	Wayne
W Bacon St	Bacon
W Baker St	Baker
W Belmont Rd	Belmont
W Blake Ln	Blake
W Bostwick Ln	Bostwick
W Broad Rock Rd	Broad
W Broad St	Broad
W Brookland Park Blvd	Brookland
W Canal St	Canal
W Carnation St	Carnation
W Cary St	Cary
W Catherine St	Catherine
W Charity St	Charity
W Clay St	Clay
W Clopton St	Clopton
W Commerce Rd	Commerce
W Coutts St	Coutts
W Crawford St	Crawford
W Crieff Rd	Crieff
W Duval St	Duval
Weatherford Rd	Weatherford
Weaver Ct	Weaver
Webber Ave	Webber
Webster St	Webster
Welford Ave	Welford
Wellford St	Wellford
Wellington St	Wellington
Welton Ave	Welton
Wendell Ln	Wendell
Wentbridge Rd	Wentbridge
Wesley Rd	Wesley
Wessex Ln	Wessex
W Essex St	Essex
West Ave	West
Westbrook Ave	Westbrook
Westchester Cir	Westchester
Westchester Rd	Westchester
Westcott Dr	Westcott
Westgate Dr	Westgate
Westhampton Way	Westhampton
Westlake Ave	Westlake
Westminster Ave	Westminster
Westminster Canterbury Way	Westminster Canterbury
Westmoreland St	Westmoreland
Westover Gardens Blvd	Westover Gardens
Westover Hills Blvd	Westover Hills
Westover Rd	Westover
Westover Village Dr	Westover Village
Westover Woods Cir	Westover Woods
Westower Ct	Westower
Westower Dr	Westower
Westview Ave	Westview
Westwick Dr	Westwick
Westwood Ave	Westwood
Wexford Ln	Wexford
Weymouth Dr	Weymouth
W Federal St	Federal
W Fells St	Fells
W Franklin St	Franklin
W Fritz St	Fritz
W Gladstone Ave	Gladstone
W Grace St	Grace
W Graham Rd	Graham
Wharton Rd	Wharton
Wheaton Rd	Wheaton
W Hillcrest Ave	Hillcrest
Whitby Rd	Whitby
Whitcomb St	Whitcomb
Whitehall Rd	Whitehall
Whitehead Rd	Whitehead
Whitehorse Rd	Whitehorse
White Oak Dr	White
Whitesand Dr	Whitesand
Whitewood Rd	Whitewood
Whitlone Dr	Whitlone
W Home St	Home
W Hooper St	Hooper
W Huguenot Rd	Huguenot
Wickham St	Wickham
Wighton Dr	Wighton
Wilbon St	Wilbon
Willamar St	Willamar
Willetta Dr	Willetta
Williamsburg Ave	Williamsburg
Williamsburg Rd	Williamsburg
Willis Rd	Willis
Willoughby Ct	Willoughby
Willow Creek Ln	Creek
Willow Creek Way	Creek
Willow Lawn Dr	Lawn
Willow Oaks Dr	Oaks
Willway Ave	Willway
Wilmington Ave	Wilmington
Winber Dr	Winber
Winchell St	Winchell
Windcroft Rd	Windcroft
Winder St	Winder
Windmoor Ct	Windmoor
Windsor Ave	Windsor
Windsorview Dr	Windsorview
Windsor Way	Windsor
Winford Ln	Winford
Wingfield St	Wingfield
Winter Rd	Winter
Wise St	Wise
Wisteria Ave	Wisteria
W Jackson St	Jackson
W Junaluska Dr	Junaluska
W Laburnum Ave	Laburnum
W Ladies Mile Rd	Ladies Mile
W Lancaster Rd	Lancaster
W Leigh St	Leigh
W Locke Ln	Locke
W Main St	Main
W Marshall St	Marshall
W Martin's Grant Cir	Martin' Grant
W Meredith St	Meredith
W Moore St	Moore
W Norwood Ave	Norwood
Woodberry Ln	Woodberry
Woodbine Rd	Woodbine
Woodburn Ct	Woodburn
Woodburn Rd	Woodburn
Woodcliff Ave	Woodcliff
Woodhaven Dr	Woodhaven
Woodlawn Ave	Woodlawn
Woodmere Dr	Woodmere
Woodrow Ave	Woodrow
Woodson Ave	Woodson
Wood St	Wood
Woodstock Rd	Woodstock
Woodys Ct	Woodys
Woodys Ln	Woodys
Worsham Way	Worsham
Worthington Ct	Worthington
Worthington Rd	Worthington
Worth St	Worth
W Pilkington St	Pilkington
W Point Ct	Point
Wright Ave	Wright
W Roanoke St	Roanoke
W Roberts St	Roberts
W Seminary Ave	Seminary
W Southside Plz	Southside Plz
W Tremont Ct	Tremont
W Weyburn Rd	Weyburn
Wyandotte Dr	Wyandotte
Wyck St	Wyck
Wyncliff Dr	Wyncliff
Wythe Ave	Wythe
Wythemar St	Wythemar
Yale Ave	Yale
Yancey St	Yancey
Yeardley Dr	Yeardley
Yellowpine Cir	Yellowpine
Yellowpine Dr	Yellowpine
York Rd	York
Yorkshire Dr	Yorkshire
Yorktown Ave	Yorktown
Young St	Young
Yukon Rd	Yukon
Yuma Rd	Yuma
Zion St	Zion
Zurich Dr	Zurich
